# theta(t) reference values, mpmath loggamma, dps=220 (values carry ~170 significant digits)
t,value
200,245.651435098988972824686569844488925822310057834871643788162482487624002984199403855244758696803822030889227578202653083149669277000177930839323568814633015375222238649
250,335.05536568332500605731524358503944285994397161495467040025612160972188922251541023469056523699687793524716215534179632219516590825937038369520450224055705735583778099016
315,458.67191971147158879684712750135970632544096415483150343340189177362529212955935207818815960754684521990654012199535373081587954258121330374844220055814913983048971791363
500,843.79010058818922951540337601132056328864818897122082984095877608042153490904272974337532095444148152081873990097174201879882786698009982136932038428821255122527953654792
800,1538.3011914634030411932496510329175595338121885391735423064563916844047102736110977611866691621407289321917217170429459690621874242976473730482770261229272059389741633233
1290,2788.9229950285827863810859167369624051799143117118101424054624179974677322905932959296069749570337600109559817587993336240536249515582470545358194149359872246928630532905
2000,4762.6327044677049723321400844371690529384469116513767652553347982724663627399620924894839571943320235906520339020144636276276537132976547220399952905011901147603654048812
5000,14197.897617602197809969266742651968203178777127192469712935558004455730844075854370980135749879116622509986036136758823349438009070145442089202035342386128185474828023504
10000.0,31861.923830835820872950335014163554987934063548171349751482530915418389552713739391186361950267880985398848913218521950221843653756714472632689845244067680541864536822326
100000.0,433752.02722917078143564463081121752752984653167160754078225212179991945418332315328393025893386902668860284774508897612400868732166865236157044095208381260067691498969654
1000000.0,5488816.3530784034448828231543656631841155420033166466029742176362100267312929662168113343139480627536377868216660180352140891421103531504958770366515321398771526237221537
10000000.0,66401092.530045791907435582075400696568597827955938402253963905893702048436615830682200615610486834993563101431323097990089968296931936735845496844073890141861104683279583
100000000.0,779140183.48445191793877278675868683069297409867419582376329920728831592460729742534909229026611809388119882525839707615642559132221721788527754047566715559369368763212998
1000000000.0,8942694384.8758337546227409881995242047681699757781599155224313219637286878683582921945632375343919403857490097331052301640233344659709258318578181282546888968959445850822
10000000000.0,100939869317.26285770139963454868753689186449638314727960968410253088446259341368584123903767602996382580622625100686480805691860331963536679400736544270045853079537632767
100000000000.0,1124527947825.8651529501638106143640531048894668560707604728044143673776472093507758809669282423795075322377614511061783558467709766591251027515864404175853344504886889404
1000000000000.0,12396572024759.208663245920288379093108655634853607664345819005088206159205174311542384739870062521374086212906090823481081371787768961824498929916141811002647575487529887
2500000000000.0,32136793476741.30453821675777813995835658607856569527295813318873866614585555166659115169986154783067841332233551206978526053109940681046228532915230747493313220367415988
3000000000000.0,38837634507280.575924994026113275127988228404717722607351030299718484695301785839183372341909426909340993235657763699445328224253499008366424855485629436948045816781999898
5000000000000.0,66006454904882.865049058294571580165963783817405151708551909666055960064300768267365035510483378203246700518965590016434318471111852285629757308238808879933534640883162671
10000000000000.0,135478645712565.84934428444846835602259836804541996521800236848738094805191279237987629695671119666176879753890425529775629237446136173927487981039027807929187469859227034
