# theta(t) below t0 and across the overlap band, mpmath loggamma,
# dps=220. Heights are exact double expansions (MATHS.md D8).
t,value
1e-06,-0.0000026860917096101383416503981299508777523810072033960662675680143351332544928773515895079578054255834107329483635864030042393958002810944470815535353465662425685863739366058
0.001,-0.0026860890152913196444842152117996419892575489419823022630265160257292898423491174480572404731049247333262298628534466311479770193343120912360554895305121287630952712389522
0.01,-0.026858223408248269541894315830396416749979634705775365966121246470551167916150478156042875454949680408935187572505866356699842454690547734795788045811832788120934012170585
0.1,-0.2659770913495793942033325816111824833599275278689134265640080453074938738732627574481148147167031080819441065169837144840299460174943455669883425060015293979824787792379
0.5,-1.1250527154055628615759010850710874547615777403947532738271184489493502056348986992192871231721310755430282341006054397067774385469539574210276474971727970033757439737912
1.0,-1.7675479528122903883022164992643870423194838631437863292542879841734090308655146331192773923466578174862875649711231141625723535062627441333459227345127224899003820069729
2.0,-2.5259109188161326900128727264053650836355909453731758303439245446444242170091036173225032094052113408019094357972374050030742618045893861428646868588253728223755169276915
3.0,-2.9945646960108252362404545356607462806063088020909434498472184994958070344160040576136009958612753717218772569948747101408219577202206742199508277472862353141489833403331
5.0,-3.4596203753634625331854670852766796380492141591647820235280258479590321211809950932227663837155357203210368287360556517219699141678162077027077603542458560919519533372505
8.0,-3.4238346284788427478166513042020337680296111641766929725701886558151205585059586266137281919950197430882956639247259471305720582657591874570861794219522097234684809475694
14.134725141,-1.728670246973590174905379354073819110591787962943678874691172707824111753030823032344807809717002699661648853252351407413547592723554731571842961148817571056505503234269
21.022039639,1.7913712662695719264721366401003413173724511071527474847662078453097522068308092392068265343375145570417668839184243520404719862102584699350422983116346858346708118224227
25.01085758,4.3781167792736803861202675473421650950092904144647153010606898731699995408518953478682144645683626057482478681657194060067637907816705934424545025571103751508830147656139
30.424876126,8.3913964557448976924453399899969103672081321320914785391203486311816341693068882086198290290712663189692162097341149093756324890091111613649807718740748996921237240011173
50.0,26.461366070161409647454954411775795897905611807016537677118142702656748796203354118889511941628084353642262024690962847309203638125800583742354757323441836540467473068956
75.0,55.092992966221059966376894137678015470572040484863717725193561059452890007449536661913073431390600874432199330591929677213982126931117052837948763241282384066115739897979
100.0,87.972165231787219625483129113748690868566519706706008727173191623207415672297791288948820113173012329386151998797014196766817332419315040705727791336650614958960424238687
130.0,131.53519113827009677263441411929443207331105689915063870012477581388518309117774250596683295924111696370281328051958737832273920380615638767250815878076526909529265818146
160.0,178.59117103288982657111033619027330844768313643352550563815595051999954331350159201621779926485302964839645253388250806352304449109262487420923124351731179519334819389024
185.0,219.98669870798641649468976257271088012523836687890365709884606177645954549832924698581004446990422558732139142131997757725620034451362044482916831184801723947375268534754
199.0,243.92246756092985908321189293209417832579617103914133869864607570337416800503375919266807048752506797068024584421996388231714845693738753561333257712598677354504842874475
199.999,245.64970488060973551711745285088573974036328238034432683980302088783799314282632809492773054349069219181909741417248570750099285921309575457857065531780922646467444736091
200.0,245.651435098988972824686569844488925822310057834871643788162482487624002984199403855244758696803822030889227578202653083149669277000177930839323568814633015375222238649
210.0,263.07659887713464414590663751710325222286889969634271580223324791195514299927100286892393912591717910408512181310838222766086644174349591716727760216530020827024534788868
250.0,335.05536568332500605731524358503944285994397161495467040025612160972188922251541023469056523699687793524716215534179632219516590825937038369520450224055705735583778099016
300.0,429.49318159981906711648853408460031172803494665187925433169701178339327043478580869176469148344466556198237684641869167618562792036730834245774253552270033306852188433844
350.0,528.11717585510907342771419912967652965151448018780949873073702728495984827424975537038653991878855667170105544088471836528233078233335608608947699150271459130447784142392
400.0,630.32484914138089859330246197143520335521239523168231461175774961401459465445179123837395147861554314087584534157848175727011943729088444276134498910417257664891230638459
